Year,Energy_consumption,CO2_emission,GDP
1993,64.76023393326628,5082.160769416461,14188.848
1994,69.6143847750146,5461.861704716186,16037.82
1995,74.99183076085728,5832.782948679828,17797.566
1996,78.66587885125404,6280.645714721839,19564.152
1997,74.80342255300228,6480.83785450449,21373.614
1998,76.84884685311603,6287.136566071831,23052.852
1999,79.8397653916051,6264.183052817733,24824.178
2000,84.93367365785515,6496.545739014095,26927.112
2001,89.1225417141094,6965.417367556098,29168.1
2002,95.42297699910696,7230.638597346115,31826.52
2003,110.4943534042438,7714.630542285909,35017.8
2004,133.2319733583068,8938.68192423015,38559.12
2005,149.3730748492912,10795.7217266442,42950.88
2006,165.0235075261373,12240.15512825172,48408.899999999994
2007,177.8015031249759,13501.33378955554,55304.04
2008,185.9596441654157,14115.136904734209,60610.86
2009,201.14905144396104,15010.221125694045,66330.78
2010,223.9443831269022,16408.273479421718,73372.62
2011,244.60406102292464,18007.31916717575,80381.34
2012,261.766975550354,19785.046453929983,86690.58
2013,271.0085537609097,20957.92093778202,93427.68
2014,274.9088185774659,21464.004733362483,100333.26
2015,273.83216800511434,21308.550494932177,107375.1
2016,275.55500626961503,20854.172968228388,114730.62
2017,284.03335695664714,20523.1931759116,122668.26
2018,294.04886610622265,20829.532415456375,130932.66
2019,303.2177720887229,21217.200772867694,138770.04
