Year,Energy_consumption,CO2_emission,GDP
1993,29.16737852945013,1906.33054658158,17266.956
1994,28.84409326688739,1874.6312390518435,17693.238
1995,29.448324218530782,1822.145842973808,17977.788
1996,29.8851481935884,1844.0266169441336,18130.194
1997,29.424505701531498,1873.5747005044325,18467.136
1998,29.312828190504938,1814.587624817927,18800.136
1999,28.749908805300596,1800.8693274396214,19128.966
2000,28.789781941057907,1733.5418278921406,19728.21
2001,29.35476134844173,1744.3869799261452,20086.878
2002,28.930513169395603,1776.0333314277896,20053.488
2003,29.00234032147194,1745.154475616299,19911.684
2004,29.115779235375996,1747.739351074334,20049.936
2005,28.6283844679183,1731.9522568903085,20229.918
2006,29.155240305188425,1688.6289862324163,21040.056
2007,28.038244882213725,1717.9815835501086,21690.696
2008,28.59023635055725,1664.5152192876003,21838.992
2009,26.89388741079587,1673.3434898936189,20606.664
2010,28.337573433901117,1563.4537670519153,21439.992
2011,27.142186667126943,1643.4457280037136,22295.262
2012,27.44510315054776,1586.979150292003,22432.518
2013,27.934929295568313,1613.7986931895691,22556.316
2014,27.01961589637391,1643.6994088403248,23053.392
2015,27.34863901033584,1567.117381882022,23340.186
2016,27.51820195946948,1575.496330764449,23839.422
2017,28.465499698950595,1577.7787914944706,24552.06
2018,27.720286495531926,1610.1185499241542,24823.08
2019,27.066602142188486,1563.192450961586,25092.300000000003
