Year,Energy_consumption,CO2_emission,GDP
1993,16.98205044082084,1209.995532184237,10707.228
1994,18.196216074317263,1261.2711123820145,11372.568
1995,19.28938575170764,1340.7652907643849,12218.196
1996,20.15010333048844,1441.4885710563622,13132.704000000002
1997,21.199655789878875,1511.1153000116208,13755.678
1998,21.461568057840655,1584.350231649627,14564.586
1999,22.83379472505224,1620.4471235656165,15762.456
2000,24.414366008905652,1703.538987466063,16679.381999999998
2001,24.840814289971807,1771.9354730876462,17258.682
2002,25.999061420686353,1815.4193395517752,18053.19
2003,26.93767187744325,1907.6933185140708,19216.488
2004,29.200067371176527,1942.9261449375576,20716.614
2005,30.860380581078708,2139.797254492423,22361.568
2006,33.443315849949705,2237.1662261580964,24186.366
2007,36.20069787835006,2417.1754326980795,26115.72
2008,38.21948902393049,2627.0094464620897,27455.04
2009,41.59634275519979,2810.6631396944795,28719.72
2010,44.40276787899749,3093.0982610483406,31336.74
2011,46.227459507704815,3295.2155307642706,33498.96
2012,48.540219607163486,3402.847217344321,35202.24
2013,49.73540567274186,3639.787609006249,37366.38
2014,53.27240450089943,3719.0686888017062,39983.399999999994
2015,54.361164323621225,4043.714272371991,42983.28
2016,56.19990910672678,4126.996492907567,46846.14
2017,58.92690047199601,4218.154888809587,49689.18000000001
2018,62.39600935417933,4399.138483992277,53306.7
2019,63.565478998585526,4616.664040003891,55861.740000000005
