Year,Energy_consumption,CO2_emission,GDP
1993,13.678830148379117,846.6997125096977,11569.44
1994,13.568274962712293,834.9807519217684,11833.392
1995,14.160495246314005,827.6699043780425,12183.792
1996,14.24802569040923,873.7792997997993,12340.86
1997,14.419802779101156,865.6572433338484,12581.064
1998,14.829499623630529,873.2017221976687,12787.854
1999,15.06080601513232,893.0380779622114,12988.902
2000,15.166299914121716,893.6173093739053,13516.41
2001,15.28571373981652,903.1462298659832,13756.14
2002,15.33780921806356,902.9147540095844,13790.454000000002
2003,15.83373277388192,915.66856154603,13821.486
2004,16.16545046367809,951.299898526044,13989.966
2005,16.26820429108902,937.0846025021812,14130.444
2006,16.178018544814194,945.996875941824,14396.346
2007,15.953915720987442,936.8472147720668,14589.498
2008,15.846751396990197,918.7562297981888,14448.63
2009,14.759625924070177,901.2831187538684,13680.426
2010,15.370858994789572,816.0105568462227,13908.942
2011,15.065038510463056,831.6171798144384,14026.812000000002
2012,14.488794626846156,818.9834343661171,13604.04
2013,13.852908808419674,775.6083136163868,13351.116000000002
2014,13.406705846050654,716.4238729879863,13360.734
2015,13.55900884253056,679.264655813985,13448.532
2016,13.449605285250572,697.9315996342823,13637.37
2017,13.57328835150052,687.8994930458211,13873.98
2018,13.6556543214872,684.033207356317,13985.208
2019,13.446727719547097,679.1541209318459,14042.226
