Year,Energy_consumption,CO2_emission,GDP
1993,12.758299185235142,743.1369669704051,4254.5952
1994,13.513901471885008,813.679315771384,4619.4684
1995,14.893902112246494,865.0128082262288,5028.1596
1996,15.85219433635125,955.8309409140396,5397.6684000000005
1997,16.8539107743598,1015.6660345787112,5701.0878
1998,15.4639249392532,1061.6092969561817,5417.9172
1999,17.280690783799596,931.7626715693576,6027.4806
2000,18.15078511765198,1035.9333023600243,6553.7118
2001,18.53525128867534,1106.73843688811,6869.1882000000005
2002,18.706861053328613,1127.4932201536456,7384.194
2003,19.361042284278795,1123.6917323580892,7613.368199999999
2004,19.78860606236631,1145.9947776895458,8001.354000000001
2005,20.35426326926548,1161.64004024555,8344.713600000001
2006,20.583963784364517,1170.952047100247,8767.542
2007,21.146678580469967,1177.5091270541284,9257.9076
2008,21.578220683470775,1211.2477330893848,9537.0708
2009,21.50773116159751,1246.1697862338583,9608.178
2010,23.17580406145361,1237.248969355255,10242.9666
2011,23.68491431954618,1341.0153220985103,10612.9614
2012,24.05140282399961,1349.959618901941,10865.0652
2013,23.783169186433753,1355.49304368384,11203.3506
2014,23.945042186351095,1344.5741619720711,11556.3378
2015,24.509042306399024,1331.9973572697368,11870.2278
2016,25.36387879656987,1369.4180076124155,12222.5094
2017,25.344008686134952,1416.4814684119226,12590.1768
2018,25.539347737559645,1414.913406292574,12937.239
2019,25.475310230714935,1446.2301552432757,13222.6764
