Year,Energy_consumption,CO2_emission,GDP
1993,174.507426745,10187.758796,62549.22
1994,177.864577826,10371.040316,65068.92
1995,181.783814429,10525.326666,66815.52
1996,187.793220577,10648.622798,69336.12
1997,188.957915917,11036.060088,72419.64
1998,189.802808166,11178.644042,75665.1
1999,193.054856213,11273.466954,79292.94
2000,197.364189942,11400.50573,82525.86
2001,192.17207196,11777.184956,83313.36
2002,195.11643512,11555.576572,84726.29999999999
2003,195.838657722,11640.050596,87095.4
2004,200.133230902,11772.833246,90450.72
2005,200.430409882,11987.438512,93601.32
2006,199.15785815,12013.98851,96206.16
2007,202.284334349,11858.658408,98140.5
2008,198.215097697,12031.075854,98260.44
2009,188.769652372,11646.25328,95705.76
2010,196.06721685,10807.329638,98298.24
2011,194.808276597,11187.324366,99821.63999999998
2012,189.807818009,10909.392942,102098.46
2013,195.372720455,10472.645098,103978.92
2014,197.736082968,10717.740462,106357.5
2015,195.946610431,10827.757596,109236.18
2016,196.001193048,10524.15143,111057.78
2017,196.583647539,10338.993968,113562.66
2018,203.743592642,10262.16196,116877.48
2019,202.219043034,10554.385508,119552.58
